season,episode,character,dialogue
s02,e22,Monica Geller,"Alright. If you guys don't want it to be special, fine. You can throw any kind of party you want."
s02,e22,Monica Geller,"Joey they're not real. I start miles beneath the surface of these things, ok, they're fake. See honk honk."
s02,e22,Chandler Bing,"Wow, it's, it's like porno for clowns."
s02,e22,Ross Geller,"I talked to Rachel's sisters, neither of them can come."
s02,e22,Monica Geller,"Ok, um so, I still have to invite Dillon and Emma and Shannon Cooper."
s02,e22,Joey Tribbiani,"Woah, woah, woah, uh, no Shannon Cooper."
s02,e22,Phoebe Buffay,Why not her?
s02,e22,Joey Tribbiani,"Cause she uh, she steals stuff."
s02,e22,Chandler Bing,Or maybe she doesn't steal stuff and Joey just slept with her and never called her back.
s02,e22,Monica Geller,Joey that is horriable.
s02,e22,Joey Tribbiani,"Hey I liked her, alright. Maybe, maybe too much. I don't know I guess I just got scared."
s02,e22,Phoebe Buffay,"I'm sorry, I didn't know."
s02,e22,Joey Tribbiani,"I didn't think anyone'd buy that, ok."
s02,e22,Ross Geller,"Hi honey, how did it go?"
s02,e22,Rachel Green,"Agh, it was the graduation from hell."
s02,e22,Chandler Bing,"Ya know, my cousin went to hell on a football scholarship."
s02,e22,Rachel Green,"Ya know, I mean this is supposed to be a joyous occasion. My sister's graduating from college, nobody thought she would. It's a true testament to what a girl from long island would do for a Celica."
s02,e22,Monica Geller,So what happened?
s02,e22,Rachel Green,"My parents happened. All they had to do was sit in the same stadium, smile proudly, and not talk about the divorce. But nooo, they got into a huge fight in the middle of the commencement address. Bishop Tutu actually had to stop and shush them. But you know what, you know what the good news is? I get to serve coffee for the next 8 hours."
s02,e22,Phoebe Buffay,"Ok, so I guess we don't invite her parents."
s02,e22,Monica Geller,"Well, how bout just her mom?"
s02,e22,Chandler Bing,Why her mom?
s02,e22,Monica Geller,Cause I already invited her.
s02,e22,Phoebe Buffay,"Ooh, ooh, did you ask Stacy Roth?"
s02,e22,Joey Tribbiani,"Oh no, can't invite her. She also steals."
s02,e22,Phoebe Buffay,"Ok, here are the birthday candles. Where's the birthday cake?"
s02,e22,Monica Geller,"Ok, we're not having birthday cake, we're having birthday flan."
s02,e22,Chandler Bing,Excuse me?
s02,e22,Monica Geller,It's a traditional Mexican custard dessert.
s02,e22,Joey Tribbiani,"Oh that's nice. Happy birthday Rachel, here's some goo."
s02,e22,Monica Geller,Dr. Greene. Oh my God it's Rachel's dad. What're you doing here?
s02,e22,Monica Geller,"No no, the father can, but um, since I am the roommate I can tell you that she's not here and I'll pass along the message, ok. So bye-bye."
s02,e22,Monica Geller,"No, no, not a party. Just a surprise gathering of some people Rachel knows. Um, this is Phoebe and Chandler and Joey."
s02,e22,Chandler Bing,"This isn't your first surprise party, is it sir?"
s02,e22,Monica Geller,Chinese menu guy. Forgot the menus.
s02,e22,Chandler Bing,"So, basically just a Chinese guy."
s02,e22,Joey Tribbiani,"Uh, hey, Dr. Greene, why don't you come with me, we'll put your jacket on Rachel's bed."
s02,e22,Monica Geller,"Sandra, I am so sorry, I thought you were Rachel and we just weren't ready for you yet."
s02,e22,Chandler Bing,"Yes because uh, you look so young."
s02,e22,Phoebe Buffay,"And because you're both, you know, white women."
s02,e22,Chandler Bing,"NO! No, I'll take that for ya."
s02,e22,Phoebe Buffay,"Ha-ha, that's great, ha-ha. I can't wait to hear the rest of it, ya know, but I really have to go to the bathroom so... Hey, come with me. Yeah, yeah, it'll be like we're gal pals, ya know, like at a restraunt. Oh, it'll be fun, c'mon."
s02,e22,Monica Geller,"Oh my God, oh my God, oh my God."
s02,e22,Chandler Bing,"Ok, think, what would Jack and Chrissy do?"
s02,e22,Joey Tribbiani,"Ok, now that your coat is safely in the bedr-, oh, ok we can come back out in the living room."
s02,e22,Monica Geller,"So uh, Joey and Chanlder, I, I think it's time that you take Dr. Greene over to your place."
s02,e22,Chandler Bing,"Uhh, yes, absdolutely, um. Why again?"
s02,e22,Monica Geller,Because that's where the party is you goon. See this is just the staging area.
s02,e22,Joey Tribbiani,Right this is staging.
s02,e22,Chandler Bing,"Yeah, this more than anything else, is the staging area."
s02,e22,Joey Tribbiani,This is clearly in the wrong apartment.
s02,e22,Chandler Bing,"Alright you guys are off to party number one and you, you are off to party number two Alright fellas, let's keep it movin', let' keep it movin."
s02,e22,Monica Geller,Chandler could you at least send some women to my party? Alright that's Ross.
s02,e22,Chandler Bing,"Ok, they're coming, shhh."
s02,e22,Rachel Green,"Ohh, thank you for the wonderful dinner."
s02,e22,Ross Geller,Thanks for being born.
s02,e22,Rachel Green,"Ohh, thank you for my beautiul earrings, they're perfect. I love you."
s02,e22,Ross Geller,"Oh, now you can exchange them if you want, ok."
s02,e22,Rachel Green,Now I love you even more.
s02,e22,Rachel Green,"Oh my gosh, wow. Monica. Oh my god. Mom. This is so great."
s02,e22,Rachel Green,"Wow you, you. I had no idea."
s02,e22,Rachel Green,"No, I knew."
s02,e22,Ross Geller,All right.
s02,e22,Monica Geller,"Ok, everybody, there's food and drinks on the table. Go across the hall."
s02,e22,Monica Geller,"Right now, Joey and Chandler's, go now."
s02,e22,Monica Geller,Just go.
s02,e22,Rachel Green,"Both of them are here, both of them, both of them are here?"
s02,e22,Chandler Bing,"Well, we could count again."
s02,e22,Rachel Green,I can't believe this is happening.
s02,e22,Ross Geller,"You know what, this is ridiculous, ok. This is your birthday, this is your party. I say we just put 'em all together and if they can't deal with it, who cares."
s02,e22,Rachel Green,I do.
s02,e22,Ross Geller,That's who.
s02,e22,Chandler Bing,"Look, are you gonna be ok?"
s02,e22,Rachel Green,"Well, I have to be, I don't really have a choice, I mean, you know, I could look at the bright side, I get two birthday parties and two birthday cakes."
s02,e22,Chandler Bing,"Well, actually just one birthday flan."
s02,e22,Chandler Bing,"It's a traditional Mexican custard dessert...Look talk to Monica, she's on the food committee."
s02,e22,Chandler Bing,"Joey, Joey. Hey, some girl just walked up to me and said, 'I want you Dennis,' and stuck her tounge down my throat. I love this party."
s02,e22,Joey Tribbiani,Quick volleyball question.
s02,e22,Joey Tribbiani,"Yeah, we set up a court in your room. Uh, you didn't really like that grey lamp, did you?"
s02,e22,Chandler Bing,"Joey, a woman just stuck her tounge down my throat, I'm not even listening to you."
s02,e22,Chandler Bing,"Ok, that's me."
s02,e22,Rachel Green,"Listen honey, can you keep dad occupied, I'm gonna go talk to mom for a while."
s02,e22,Ross Geller,"Ok, do you have any ideas for any openers?"
s02,e22,Rachel Green,"Uhh, let's just stay clear of 'I'm the guy that's doing you daughter' and you should be ok."
s02,e22,Monica Geller,"Ok people, I want you to take a piece of paper, here you go, and write down your most embarassing memory. Oh, and I do ask that when you're not using the markers, you put the caps back on them because they will dry out."
s02,e22,Ross Geller,"Hi Dr. Greene. So, uh, how's everything in the uh, vascular surgery....game?"
s02,e22,Ross Geller,I'm sorry. See that's the good thing about my job. All the dinosaurs on my table are already dead.
s02,e22,Monica Geller,"Listen you guys, I don't mean to be a pain about this but, um, I've noticed that some of you are just placing them on. You wanna push the caps until you hear them click. Gunther, where're you going?"
s02,e22,Monica Geller,"No. No you can't go. No this is fun. Come on we're just getting started. Here, here's your marker."
s02,e22,Phoebe Buffay,"Listen if you wanna go, just go."
s02,e22,Phoebe Buffay,"Alright, I can get you out."
s02,e22,Phoebe Buffay,"Shh. In a minute, I'm gonna create a diversion. When I do, walk quickly to the door and don't look back."
s02,e22,Ross Geller,"Oh, here, I, I'll get it for ya. Whad'ya want?"
s02,e22,Ross Geller,"Scotch. Alright, I'll be back in 10 seconds with your scotch on the rocks in a glass."
s02,e22,Ross Geller,I know.
s02,e22,Ross Geller,"Hi. Uh, I have been in the bathroom. Stay clear of the salmon mousse."
s02,e22,Ross Geller,"Oh, mine too. Isn't that neat, scotch neat. Would you excuse me? Hey, hey, where you uh, sneakin off to mister?"
s02,e22,Ross Geller,No. no.
s02,e22,Ross Geller,"No, um, see 'cause that, that is, that is the staging area. If you go in there, it'll ruin the whole illusion of the party. Yeah, I think you take your scotch back in there and I will get your cigarettes for you sir."
s02,e22,Ross Geller,All righty roo. What a great moment to say that for the first time.
s02,e22,Monica Geller,"Ok, the first person's most embarassing memory is, 'Monica, your party sucks.' Very funny."
s02,e22,Phoebe Buffay,"Oh no, ooh, ooh, did somebody forget to use a coaster?"
s02,e22,Monica Geller,What? I don't see anything.
s02,e22,Phoebe Buffay,"Great, I'm seeing water rings again."
s02,e22,Ross Geller,"Um-hmm. I have a condition, apparently, that I require two different sets of focals."
s02,e22,Rachel Green,Well those are very popular frames.
s02,e22,Ross Geller,Neil Sedaka wears them.
s02,e22,Rachel Green,"Yeah, like a chimney."
s02,e22,Ross Geller,"Ohh, big smoker. Big big smoker. In fact I'm gonna go ou into the hallway and fire up this bad boy."
s02,e22,Ross Geller,Yes. I was just warming up the earpieces for you.
s02,e22,Ross Geller,"Yeah, yes it is, I was just moistening the tip."
s02,e22,Phoebe Buffay,"Ok, ok, she's taking the trash out so I can get you out of here but it has to be now, she'll be back any minute."
s02,e22,Phoebe Buffay,"No, only the three of you, any more than that and she'll get suspicious."
s02,e22,Phoebe Buffay,There isn't time. You must leave everything. They'll take care of you next door.
s02,e22,Phoebe Buffay,Everything you've heard is true.
s02,e22,Monica Geller,"Could you guys please try to keep it down, we're trying to start a Boggle tournament."
s02,e22,Monica Geller,"You, and you, you're supposed to be at my party. And Gunther! What are you doing here?"
s02,e22,Phoebe Buffay,"Ok, welcome to the fu-oh."
s02,e22,Phoebe Buffay,"Alright, I'm sorry but these people needed me. They work hard all week, it's Saturday night, they deserve to have a little fun. Go."
s02,e22,Monica Geller,"Ya know, my party is fun. I mean, maybe it's a little quieter, less obvious sorta fun but, you know, if people would just give it a chance..."
s02,e22,Rachel Green,You want me to see a therapist?
s02,e22,Rachel Green,"Ok mom, you know what, fine, I'll make an appointment ok, but you know what, right now, I gotta go, I gotta go do a thing."
s02,e22,Rachel Green,"Daddy, daddy, you know what, I really wanna hear more about this, I really do, but I just have, I just have to do a, some stuff."
s02,e22,Chandler Bing,"Ok, ok, you can be shirts and I'll be skins. I'll be skins. Hey, how you holdin' up there, tiger? Oh, sorry, when my parents were getting divorced I got a lot of tigers. Got a lot of champs, chiefs, sports, I even got a governor."
s02,e22,Rachel Green,"This is it, isn't it? I mean, this is what my life is gonna be like. My mom there, my dad there. Thanksgiving, Christmas. She gets the house, he's in some condo my sister's gonna decorate with wicker. Oh, Chandler how did you get through this?"
s02,e22,Chandler Bing,"Well, I relied on a carefully regimented program of denial and, and wetting the bed."
s02,e22,Rachel Green,"Ya know, I just, so weird. I mean I was in there just listening to them bitch about each other and all I kept thinking about was the fourth of July."
s02,e22,Chandler Bing,Becasue it reminded you of the way our forefathers used to bitch at each other?
s02,e22,Rachel Green,"It's just this thing. Every year we would go out on my dad's boat and watch the fireworks. Mom always hated it because the ocean air made her hair all big. My sister Jill would be throwing up over the side and my dad would be upset becasue nobody was helping and then when we did help he would scream at us for doing it wrong. But then when the fireworks started, everybody just shut up, you know, and it'd get really cold, and we would all just sort of smush under this one blanket. It never occured to anybody to bring another one. And now it's just..."
s02,e22,Chandler Bing,"I, I know."
s02,e22,Monica Geller,"Ok, thanks for coming, I hope you guys had fun."
s02,e22,Monica Geller,Ok will do. So glad you came.
s02,e22,Monica Geller,"Ok, let me go check. Your mom want's to say goodbye."
s02,e22,Rachel Green,Oh ok.
s02,e22,Joey Tribbiani,"Ahh, you drive safe."
s02,e22,Ross Geller,I'm getting ready for the water skiing. How are you doing?
s02,e22,Chandler Bing,"Well, uh, Dr. Greene, where are you going?"
s02,e22,Chandler Bing,"Sorry, we're on a major flan high."
s02,e22,Phoebe Buffay,"Oh no, you're not supposed to be here. This is the staging area, you should, it's all wrong, you should leave, ya know, get out. Or perhaps you'd like a creme d'menthe."
s02,e22,Phoebe Buffay,"Oh all right, then I guess we're going back into the hallway."
s02,e22,Joey Tribbiani,"Thanks for coming Mrs. Greene. Well, ok, you take care."
s02,e22,Monica Geller,Thank you.
s02,e22,Monica Geller,"Ok everybody, it's time for flan."
s02,e22,Chandler Bing,"Yup, get ready for the gelatenous fun."
s02,e22,Joey Tribbiani,Kinda looks like that stuff you get when you get a bad infection.
s02,e22,Monica Geller,"Ok, that's enough."
s02,e22,Phoebe Buffay,"Ok Rachel, make a special flan wish."
s02,e22,Rachel Green,"Ok, I've got one. Wow, those things almost never come true."
s02,e23,Rachel Green,"Ok, Chandler, Mon, there's only one bananna nut muffin left."
s02,e23,Monica Geller,"Oh, I ordered mine first."
s02,e23,Chandler Bing,"Yeah, but I'm, I'm so much faster..."
s02,e23,Monica Geller,Give it to me.
s02,e23,Monica Geller,Give it to me.
s02,e23,Chandler Bing,"Ok, you can have it."
s02,e23,Monica Geller,"There you go, enjoy your coffee."
s02,e23,Chandler Bing,That was there when I got here.
s02,e23,Phoebe Buffay,"Hey you guys, you will never guess who's coming to New York."
s02,e23,Monica Geller,"Quick, Phoebe, tell us before he can swallow."
s02,e23,Phoebe Buffay,"Oh ok, Ryan, that guy I went out with, who's in the Navy."
s02,e23,Rachel Green,You went out with a guy in the Navy?
s02,e23,Phoebe Buffay,"Yeah, I met him when I was playing guitar in Washington Square Park. Ryan threw in salt water taffy 'cause he didn't have any change."
s02,e23,Joey Tribbiani,"Hey, is that when you wrote salt water taffy man?"
s02,e23,Phoebe Buffay,"No. No, he is my submaring guy. He resurfaces like every couple years and we have the most amazing three days together. Only this time he's coming for two weeks. Two whole weeks, which means yay."
s02,e23,Rachel Green,"So wait, this guy goes down for like two years at a time?"
s02,e23,Monica Geller,That'll teach you to lick my muffin.
s02,e23,Joey Tribbiani,"Oh no, what happened?"
s02,e23,Ross Geller,"Well, I just spoke to Carol. Ben's got the chicken pox."
s02,e23,Ross Geller,"Yeah, so if you haven't already had it, chances are you're gonna get it."
s02,e23,Rachel Green,Well I've had it.
s02,e23,Joey Tribbiani,"Yeah, I've had it."
s02,e23,Monica Geller,Had it.
s02,e23,Chandler Bing,Had it.
s02,e23,Phoebe Buffay,"Well, I've never had it, I feel so left out. Oh look!"
s02,e23,Monica Geller,"Honey, you made the bed again. I told you, you don't have to do that. This isn't camp."
s02,e23,Monica Geller,Baddest. Otherwise the song would be Fat Fat Leroy Brown.
s02,e23,Monica Geller,Just waiting for you sweetie.
s02,e23,Monica Geller,"I'm sorry, I'm sorry. You know what, the way you did it was just fine."
s02,e23,Monica Geller,"If I tell you, you'll think I'm crazy."
s02,e23,Monica Geller,"Ok, you see, the tag shouldn't be at the top left corner, it should be at the bottom right corner."
s02,e23,Monica Geller,I'm just easing you in.
s02,e23,Monica Geller,"Alright, you see these little flower blossoms? They should be facing up, not down, because, well, the head of the bed is where the sun would be. You don't love me any more do you."
s02,e23,Monica Geller,"Really? Wow, well then come on, I wanna show you how to fold the toilet paper into a point."
s02,e23,Chandler Bing,"Hey, look Joey, I'm just saying if you need something to hold you over, I can get you a job right here as an entry level processor."
s02,e23,Joey Tribbiani,But don't you need experience for a job like that?
s02,e23,Chandler Bing,"It's not that hard to learn. And as for people realizing you have no idea what you're doing, hey, you're an actor. Act like a processor, people will think you're a processor."
s02,e23,Chandler Bing,"Hey thanks. Scott Alexander, Joey Tribbianni. Joey is a uh, fellow processor."
s02,e23,Joey Tribbiani,"Oh yeah yeah. I process. People want the processing, I'm the one they call."
s02,e23,Joey Tribbiani,"Uhh, well, right now I'm in between things. You know how it is. One day you're processing, the next day you're not so much... processing any more."
s02,e23,Chandler Bing,I was just telling Joey about the opening in Fleischman's group.
s02,e23,Joey Tribbiani,Ha-ha. Are all you processors dorks?
s02,e23,Rachel Green,"Oh, this lipstick looks just great on you."
s02,e23,Monica Geller,"You look fabulous honey, you really do."
s02,e23,Phoebe Buffay,"Yeah? Are you sure, really."
s02,e23,Rachel Green,"You see, you look beautiful. For god sakes, dim the lights."
s02,e23,Phoebe Buffay,"I, I, I'm hideous."
s02,e23,Monica Geller,It's gonna be ok. Ryan's been under water. He's just gonna be so glad that you don't have barnicles on your butt.
s02,e23,Phoebe Buffay,Come in.
s02,e23,Phoebe Buffay,"Hey Ryan, what's up?"
s02,e23,Phoebe Buffay,"Well, no no, you have to stay back. I, I have the pox."
s02,e23,Phoebe Buffay,Chicken. Which is so ironic considering I'm a vegetarian.
s02,e23,Phoebe Buffay,"'Cause my, my grandmother's never had chicken pox. Please, please tell me you have, 'cause oh my God, I forgot how cute you are."
s02,e23,Phoebe Buffay,"Ohh, ohh."
s02,e23,Phoebe Buffay,"Yeah, or you know, you could just wish that I didn't have them now."
s02,e23,Phoebe Buffay,Nope. You don't want to see a face covered with pox.
s02,e23,Phoebe Buffay,"And you hate fish. Oh. That's so sweet, alright. Ok, alright, you can see. This is me... Oh, I am scary."
s02,e23,Phoebe Buffay,"I hate this. 'Cause I tell you, I had the most amazing two weeks planned for us, and almost everything I had in mind, we had to be a lot closer than this."
s02,e23,Phoebe Buffay,"Ok, this is the most romantic disease I've ever had."
s02,e23,Chandler Bing,"Hey, how's the first day goin'?"
s02,e23,Joey Tribbiani,Pretty good. It's like you said. It's mostly just putting numbers from one column into another column.
s02,e23,Chandler Bing,Well there you go.
s02,e23,Joey Tribbiani,"Hey and everbody is so nice. I just had a good talk with that lady with the red hair, Jeannie."
s02,e23,Chandler Bing,"Jeannie, the head of east coast operations Jeannie?"
s02,e23,Joey Tribbiani,"Yeah, turns out our kids go to the same school. Small world huh?"
s02,e23,Chandler Bing,Weird world. Your kids?
s02,e23,Joey Tribbiani,I figure my character has kids.
s02,e23,Chandler Bing,Ya know there isn't a part of that sentence I don't need explained.
s02,e23,Joey Tribbiani,"Well, see when you're acting you need to think about stuff like that. My character, Joseph the processor guy, has two little girls, Ashley and Brittany. Ashley copies everything Brittany does."
s02,e23,Chandler Bing,"Well, invisible kids can be that way sometimes."
s02,e23,Joey Tribbiani,"Yeah. Joseph and his wife, Karen, are thinking of having a third kid... Ya know what? Just did."
s02,e23,Chandler Bing,Really? Wow. That's some pretty powerful imaginary sperm you must have there.
s02,e23,Phoebe Buffay,That you don't stop talking about it.
s02,e23,Phoebe Buffay,"Let's just play, ok. Good, ok. Here we go, double sixes, here we go... Here we go, come to mama, just getting ready to roll the dice..."
s02,e23,Phoebe Buffay,"No. This is what I do for luck, ok."
s02,e23,Phoebe Buffay,"No. Here. There. Ooh, double sixes."
s02,e23,Phoebe Buffay,"Uhh, I can't stop thinking about it. It's just so hard. I just wanna grab all these houses and rub 'em all over my body."
s02,e23,Phoebe Buffay,Give it.
s02,e23,Phoebe Buffay,"Yeah, come on. You know you want it, you know you want it too, come on. Let's just be bad, it'll feel so good."
s02,e23,Phoebe Buffay,"Now do me, do my back. Oh come on, harder."
s02,e23,Rachel Green,"Oh, stop that, stop that right now."
s02,e23,Ross Geller,"You know, I might have expected this of you Phoebe, but Ryan, you're a military man."
s02,e23,Joey Tribbiani,"You and Milton have to join us on the boat. Karen'll pack a lunch, you'll bring the kids, we'll make a day of it."
s02,e23,Joey Tribbiani,"Oh, thanks, thanks. Bye bye Jeannie."
s02,e23,Joey Tribbiani,What a phony.
s02,e23,Chandler Bing,"Well, I'm sure you'll teach her a lesson when she steps off the dock onto nothing. Hey Mr. Douglas."
s02,e23,Chandler Bing,Well the people in my group wanna spend the holiday weekend with their families.
s02,e23,Joey Tribbiani,"Yeah Bing, what's that about?"
s02,e23,Chandler Bing,"It's about cutting my people a little slack, ya know, for morale. Look, if you wanna see some rough numbers, I can get them to you by Wednesday."
s02,e23,Joey Tribbiani,This company was not built on rough numbers. Am I right Mr. Douglas.
s02,e23,Chandler Bing,"Uh, if you say so sir."
s02,e23,Joey Tribbiani,"Joseph's good, isn't he?"
s02,e23,Chandler Bing,"Well, I'm going to kill you."
s02,e23,Joey Tribbiani,"Hey, hey, I just figure Joseph's the kinda guy that likes to mix it up. Ya know, get in there, ruffle some feathers."
s02,e23,Joey Tribbiani,"Look, I'm sorry but that's what Joseph does, ok. If you try to pull somethin', he'll call you on it. 'What're you tryin' to pull,' he'll say."
s02,e23,Monica Geller,This is for the scratchy twins out there. I taped oven mits to their hands.
s02,e23,Monica Geller,It's for their own good.
s02,e23,Monica Geller,"Exactly. Oh, I love that I can be totally neurotic around you now. Tell me the truth. Don't you like it better now that everything on your desk is perpendicular?"
s02,e23,Monica Geller,Very good.
s02,e23,Monica Geller,You know what. Tomorrow I'm gonna do your clocks.
s02,e23,Monica Geller,I'm gonna set them to my time.
s02,e23,Monica Geller,"No no. See, in my bedroom I set my clock six minutes fast. You wanna know why?"
s02,e23,Monica Geller,"No forget it, I'm not gonna tell you now."
s02,e23,Monica Geller,No. See you don't understand.
s02,e23,Monica Geller,No. You don't have any of these cute little obsessive things.
s02,e23,Monica Geller,Oh yeah.
s02,e23,Monica Geller,"Alright, well tell me one of yours."
s02,e23,Monica Geller,What if they get mixed up?
s02,e23,Monica Geller,"You would not. I can't believe this. I hate this, you're too normal. I can't believe my boyfriend doesn't have a thing. My boyfriend doesn't have a thing."
s02,e23,Joey Tribbiani,Hey. Mr. Douglas is looking for you.
s02,e23,Chandler Bing,Why? Wh- wh- why is Mr. Douglas looking for me?
s02,e23,Joey Tribbiani,'Cause he has a strong suspicion that you dropped the ball on the Lender project.
s02,e23,Chandler Bing,"Wha- wh- why, why, why does he suspect that?"
s02,e23,Joey Tribbiani,"Becasue at first he thought it was Joseph. But after he asked Joseph about it, turns out it was you. Anyway, I just thought you should know."
s02,e23,Chandler Bing,"Alright, that's it. Look Joey, I'm sorry, I realize this is the role of a lifetime for ya, and if I could just fire Joseph, I would, but unfortunately that's not possible so I'm gonna have to let both of you go."
s02,e23,Joey Tribbiani,"What're you talking about, everybody loves Joseph."
s02,e23,Chandler Bing,"I don't, I hate Joseph, ok. I think he's a brown-nosing suck up."
s02,e23,Joey Tribbiani,"Oh yeah. Well you can't fire Joseph. You know why, 'cause he's not in your department."
s02,e23,Chandler Bing,"Alright, ok, alright. So I can't fire Joseph but uh, I can sleep with his wife."
s02,e23,Chandler Bing,"Yeah, Karen. I'm thinking about having an affair with her. Oh, you know what? I just did."
s02,e23,Joey Tribbiani,Ahh. What the hell are you doing to me man.
s02,e23,Chandler Bing,"Oh well it's not me, it's my character, Chandy. Yeah the rogue processor who seduces his co-worker's wives for sport and then laughs about it the next day at the water cooler. In fact, I have her panties right there in my drawer."
s02,e23,Chandler Bing,"No freakshow, she's fictional."
s02,e23,Joey Tribbiani,"Take it easy. If it means that much to you, I'll uh, I'll go find something else."
s02,e23,Chandler Bing,Thank you.
s02,e23,Joey Tribbiani,"It's just that, I, I'm gonna miss Joseph. I liked him. His wife, she was hot."
s02,e23,Phoebe Buffay,Can I please take these off? I swear I won't scratch.
s02,e23,Rachel Green,"No sorry hon, Monica's orders."
s02,e23,Ross Geller,"Ok, dinner's on."
s02,e23,Rachel Green,And there's a peach cobbler warming in the oven so the plate's gonna be hot but that shouldn't be a problem for you.
s02,e23,Ross Geller,"Alright you kids, bye now."
s02,e23,Ross Geller,"Oh look, a low budget puppet show."
s02,e23,Phoebe Buffay,It's such a shame you can't see which finger I'm holding up.
s02,e23,Phoebe Buffay,I got it.
s02,e23,Phoebe Buffay,"You know what, that's it, that's it."
s02,e23,Monica Geller,What's up?
s02,e23,Monica Geller,No honey. You have to sleep on this side of the bed because I have to sleep on this side of the bed.
s02,e23,Monica Geller,"No. Big deal, so you have a side of the bed, everybody has a side of the bed."
s02,e23,Monica Geller,"Alright, go on."
s02,e23,Monica Geller,"Oh my God, you're a freak."
s02,e23,Rachel Green,"So uh, Ryan, were you shipping off to?"
s02,e23,Ross Geller,So do you have like any nuclear weapons on board?
s02,e23,Rachel Green,"Well do you get to look through one of those like, those periscope thingys."
s02,e23,Ross Geller,"Wow, it, it's neat learning about submarines."
s02,e23,Phoebe Buffay,"Ok, I'll walk you out."
s02,e23,Ross Geller,Bye Ryan.
s02,e23,Rachel Green,It was nice to meet you.
s02,e23,Rachel Green,"So do you uh, think we can get you one of those uh, uniform things?"
s02,e23,Ross Geller,You like that do ya?
s02,e23,Rachel Green,Oh yeah.
s02,e23,Ross Geller,I'll make some calls.
s02,e23,Phoebe Buffay,"I know. We didn't do any of the romantic things I had planned, like having a picnic at Central Park and ya know, coffee at Central Perk. Oh I just got that."
s02,e23,Phoebe Buffay,Bye you.
s02,e23,Rachel Green,"Oh I'm sorry, we're clo-... Hey sailor."
s02,e23,Ross Geller,Is this what you had in mind?
s02,e23,Rachel Green,I'll say.
s02,e23,Ross Geller,I'm shipping out tomorrow.
s02,e23,Rachel Green,"Well then uh, we better make this night count. Oh wait, I forgot to turn off the cappucino machine. Anchors away. Oh no no, my purse, my purse, my purse, my purse, my purse, my pu rse. Oh, you know what. I forgot to turn off the bathroom light."
s02,e23,Ross Geller,"Alright you know, why don't I just meet you upstairs."
s02,e24,Rachel Green,"Hey Joey, how'd the audition go?"
s02,e24,Joey Tribbiani,Incredible! I met the director this time and you'll never believe who it was.
s02,e24,Joey Tribbiani,All right. I'll give you one hint. Warren Beatty.
s02,e24,Joey Tribbiani,"Yeah, there's just one thing that might be kind've a problem. See, I, uh, had to kiss this guy."
s02,e24,Chandler Bing,'Cause he was just so darn cute.
s02,e24,Joey Tribbiani,"No, as part of the audition. See, I'm up for this part of this guy, who the main guy kisses."
s02,e24,Ross Geller,"Well, hey. You're an actor, I say you just suck it up and do it. Or you just do it."
s02,e24,Joey Tribbiani,"I did do it, I'm a professional."
s02,e24,Monica Geller,Then what's the problem?
s02,e24,Joey Tribbiani,"See after the scene, Mr. Beatty comes up to me and says 'good actor, bad kisser'. Can you believe that, me not a good kisser, that's like, like Mother Theresa, not a good mother."
s02,e24,Phoebe Buffay,"Well, come on, who cares what that guy thinks. What does Warren Beatty know about kissing Ooh."
s02,e24,Chandler Bing,"Hey, what did your agent say?"
s02,e24,Joey Tribbiani,"Yep, this kiss thing is defiantly a problem, Mr. Beatty wants to see it again on Monday. Man, I gotta figure out what I'm doing wrong. Oh, okay, one of you girls come over here and kiss me."
s02,e24,Monica Geller,"What, forget it!"
s02,e24,Rachel Green,"Yeah, right."
s02,e24,Joey Tribbiani,"Come on, I need your help here."
s02,e24,Phoebe Buffay,"All right. I'll do it, I kissed him before I can do it again."
s02,e24,Joey Tribbiani,"You see this, this is a friend."
s02,e24,Phoebe Buffay,"Uh-huh, let's go. Oh, wait I have gum. Okay. Good, very good, firm but tender. I'd recommend you to a friend."
s02,e24,Joey Tribbiani,Then I don't know what it is. What's the problem?
s02,e24,Monica Geller,"Joey, you know, maybe your just not used to kissing men, maybe you just tensed up a little, maybe that's what you need to work on."
s02,e24,Joey Tribbiani,"Yeah, that makes sense."
s02,e24,Ross Geller,Over my dead body!
s02,e24,Chandler Bing,And I'll be using his dead body as a shield.
s02,e24,Ross Geller,"Come on out, honey! I'm telling you look good! Tell her she looks good, tell her she looks good."
s02,e24,Phoebe Buffay,"Oh my God, you look so good!"
s02,e24,Rachel Green,I can not believe I have to walk down the aisle in front of 200 people looking like something you drink when your nauseous.
s02,e24,Ross Geller,"So don't, I don't see why we have to go to this thing anyway, it's your ex-fiancee's wedding."
s02,e24,Rachel Green,Because I promised Mindy I would.
s02,e24,Monica Geller,"Yeah, well you promised Barry, you'd marry him."
s02,e24,Rachel Green,"Look you guys, I have to go, I'm the Maid-of-Honor. And besides you know what I just need to be in a room again with these people and feel good about myself."
s02,e24,Phoebe Buffay,Ooh-oh! Someone's wearing the same clothes they had on last night. Someone get a little action?
s02,e24,Chandler Bing,I may have.
s02,e24,Monica Geller,"Woo-hoo, stuud!"
s02,e24,Ross Geller,What's she look like?
s02,e24,Chandler Bing,"Well, we haven't exactly met, we just stayed up all night talking on the internet."
s02,e24,Monica Geller,"Woo-hoo, geeek!"
s02,e24,Chandler Bing,"I like this girl, okay, I seriously like this girl, you now how sometimes I tend get a little defended and quipy..."
